title,text,label
"Government confirms new education policy","The government has officially announced a new education policy to improve learning outcomes across the country.",REAL
"Celebrity endorses miracle weight loss pill","A famous actor claims this pill helped lose 10kg in one week without exercise.",FAKE
"Scientists discover water on Mars","NASA scientists confirmed evidence of water beneath the surface of Mars.",REAL
"Fake cure for cancer goes viral","A viral post claims cancer can be cured using home remedies.",FAKE
"Stock market reaches record high","The stock market reached an all-time high due to positive economic indicators.",REAL
"Aliens found living among humans","An online article claims aliens are secretly living among humans on Earth.",FAKE
"New technology boosts smartphone battery life","Researchers developed new battery technology that lasts twice as long.",REAL
"Drinking coffee cures COVID-19","Social media posts falsely claim coffee can cure COVID-19.",FAKE
"Election commission announces voting dates","The election commission released official voting dates for the upcoming election.",REAL
"Man time-travels to future","A man claims he traveled to the year 2050 and returned with proof.",FAKE
